=== Worker 5 start ===
Running matches: games_per_side=50, depth=8, max_plies=150, movetime_ms=10, fen_or_book=startpos, version_a=v24, version_b=v25
Game (W:v25 vs B:v24) FEN=startpos -> result 1-0 checkmate
Game (W:v25 vs B:v24) FEN=startpos -> result 1/2-1/2 max-plies
Game (W:v25 vs B:v24) FEN=startpos -> result 0-1 checkmate
Game (W:v25 vs B:v24) FEN=startpos -> result 1/2-1/2 max-plies
Game (W:v25 vs B:v24) FEN=startpos -> result 1-0 checkmate
Game (W:v25 vs B:v24) FEN=startpos -> result 1/2-1/2 max-plies
Game (W:v25 vs B:v24) FEN=startpos -> result 1/2-1/2 threefold-repetition
Game (W:v25 vs B:v24) FEN=startpos -> result 1/2-1/2 max-plies
Game (W:v25 vs B:v24) FEN=startpos -> result 1-0 checkmate
Game (W:v25 vs B:v24) FEN=startpos -> result 1/2-1/2 max-plies
Game (W:v25 vs B:v24) FEN=startpos -> result 1-0 checkmate
Game (W:v25 vs B:v24) FEN=startpos -> result 1/2-1/2 max-plies
Game (W:v25 vs B:v24) FEN=startpos -> result 1-0 checkmate
Game (W:v25 vs B:v24) FEN=startpos -> result 1-0 checkmate
Game (W:v25 vs B:v24) FEN=startpos -> result 1/2-1/2 max-plies
Game (W:v25 vs B:v24) FEN=startpos -> result 1/2-1/2 max-plies
Game (W:v25 vs B:v24) FEN=startpos -> result 1/2-1/2 max-plies

=== Match Summary ===
Total games: 100
v24 wins: 34
v25 wins: 24
draws:   42
=== Worker 5 end ===
